rc_11,rc_14,rc_15,rc_26,rc_37,profit
0.723,0.784,0.781,0.65,0.278,30.361687754183464
0.655,0.215,0.213,0.394,0.493,14.524327224813213
0.662,0.61,0.468,0.364,0.798,25.80560898905914
0.456,0.471,0.298,0.677,0.616,23.912045524102822
0.332,0.249,0.608,0.593,0.364,16.121078522871816
0.771,0.291,0.459,0.766,0.452,19.17664497157929
0.583,0.439,0.365,0.79,0.446,25.372680763362702
0.736,0.338,0.328,0.219,0.591,15.094682723832483
0.421,0.719,0.484,0.781,0.311,24.74313849667351
0.721,0.666,0.663,0.707,0.657,41.21007608654652
0.576,0.279,0.22,0.753,0.57,17.369511798777474
0.678,0.489,0.27,0.275,0.611,17.91543446524753
0.458,0.32,0.495,0.239,0.549,16.677529542827212
0.361,0.679,0.386,0.473,0.207,19.265163124598143
0.243,0.435,0.488,0.56,0.375,22.11037380697153
0.617,0.716,0.668,0.224,0.488,20.98929976559802
0.263,0.345,0.792,0.285,0.499,17.909773643729096
0.571,0.621,0.536,0.206,0.396,16.666728594075735
0.511,0.253,0.41,0.22,0.247,15.213137212809807
0.438,0.28,0.541,0.614,0.68,20.224991875179548
0.32,0.3,0.263,0.582,0.624,19.357239254794504
0.219,0.762,0.231,0.525,0.625,23.579544446873882
0.723,0.628,0.681,0.404,0.689,29.600352108676887
0.248,0.737,0.529,0.69,0.471,23.290779770501565
0.586,0.516,0.639,0.249,0.236,18.071470437197643
0.348,0.296,0.723,0.332,0.786,19.756118018670087
0.402,0.309,0.674,0.595,0.499,20.45023087454238
0.533,0.632,0.337,0.798,0.785,39.02791278297664
0.59,0.32,0.608,0.243,0.218,15.310850552307429
0.355,0.478,0.721,0.636,0.646,28.910851951355106
0.455,0.408,0.423,0.793,0.224,18.27185483964801
0.72,0.547,0.463,0.635,0.492,28.391578214712208
0.724,0.74,0.453,0.366,0.555,27.568282227227726
0.747,0.326,0.574,0.579,0.64,23.071526153109673
0.279,0.629,0.745,0.308,0.343,20.33851568332561
0.783,0.309,0.713,0.495,0.348,19.529154581894037
0.722,0.467,0.509,0.416,0.556,26.97423099962102
0.298,0.435,0.782,0.355,0.594,22.12278345722429
0.395,0.664,0.279,0.782,0.472,26.924294251072237
0.342,0.244,0.302,0.512,0.402,19.157838383837564
0.697,0.459,0.349,0.57,0.624,28.869335334887356
0.3,0.301,0.222,0.642,0.598,18.094600203007037
0.485,0.707,0.683,0.551,0.721,37.18008509879718
0.324,0.267,0.362,0.234,0.519,14.86775940636584
0.762,0.224,0.273,0.471,0.76,17.473991590110323
0.39,0.504,0.225,0.289,0.792,18.54296810370272
0.779,0.203,0.771,0.583,0.721,17.15136155622252
0.473,0.509,0.493,0.6,0.284,25.195788843097255
0.218,0.385,0.623,0.321,0.604,21.0956503283217
0.782,0.256,0.604,0.466,0.721,18.30164491192527
0.306,0.616,0.703,0.767,0.61,29.846589947822956
0.498,0.571,0.721,0.542,0.218,23.970007278747136
0.759,0.614,0.606,0.329,0.595,24.23186637924171
0.436,0.591,0.264,0.595,0.8,29.8526125844838
0.229,0.786,0.444,0.722,0.669,23.25911631205103
0.54,0.643,0.727,0.442,0.396,30.387226050092156
0.601,0.685,0.657,0.679,0.461,32.16290304956221
0.691,0.272,0.527,0.203,0.395,14.184328213573318
0.42,0.438,0.617,0.433,0.469,26.165753456068632
0.343,0.424,0.336,0.244,0.562,17.490140101797092
0.601,0.572,0.478,0.428,0.718,28.384335652289725
0.511,0.488,0.215,0.405,0.428,20.483743842364042
0.439,0.548,0.52,0.565,0.659,30.987484438392286
0.688,0.631,0.773,0.211,0.317,17.04826922247137
0.205,0.588,0.739,0.346,0.756,19.10624462239264
0.236,0.761,0.411,0.261,0.492,20.03138949392778
0.354,0.371,0.384,0.682,0.523,24.542830763955894
0.387,0.566,0.63,0.364,0.448,24.59372397504741
0.273,0.309,0.609,0.309,0.515,18.309767048888276
0.625,0.264,0.54,0.354,0.778,17.975411044634686
0.49,0.684,0.53,0.226,0.58,19.076487258871985
0.771,0.561,0.692,0.731,0.337,25.0406202728665
0.327,0.567,0.447,0.704,0.74,28.679895652587504
0.412,0.342,0.668,0.365,0.694,21.591304054955735
0.454,0.601,0.257,0.574,0.471,22.456840101721173
0.552,0.301,0.642,0.718,0.33,19.034516316013153
0.257,0.214,0.585,0.564,0.528,16.010009029479445
0.339,0.435,0.557,0.498,0.793,26.103766800216114
