ID,rc_11,rc_14,rc_15,rc_26,rc_37,threshold,prediction
11,0.0,0.0,0.0,0.0,-1.0,-0.3340010063180923,21.664921992384873
11,0.0,0.0,0.0,-1.0,0.0,-0.322501005364418,21.664921992384873
11,0.0,1.0,0.0,0.0,0.0,0.3375000059604645,21.664921992384873
11,0.0,0.0,-1.0,0.0,0.0,-0.33250099582767484,21.664921992384873
11,0.0,-1.0,0.0,0.0,0.0,-0.3045009986886978,21.664921992384873
12,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,23.007602340940814
12,0.0,-1.0,0.0,0.0,0.0,-0.2745009974966049,23.007602340940814
12,0.0,0.0,0.0,0.0,-1.0,-0.3340010063180923,23.007602340940814
12,0.0,0.0,0.0,-1.0,0.0,-0.322501005364418,23.007602340940814
12,0.0,-1.0,0.0,0.0,0.0,-0.33750100596046445,23.007602340940814
13,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,16.598784023005777
13,0.0,0.0,0.0,1.0,0.0,0.3474999964237213,16.598784023005777
13,0.0,0.0,0.0,1.0,0.0,0.2639999985694885,16.598784023005777
13,0.0,1.0,0.0,0.0,0.0,0.6354999840259552,16.598784023005777
13,0.0,0.0,1.0,0.0,0.0,0.5520000159740448,16.598784023005777
14,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,17.91771659226852
14,0.0,0.0,0.0,1.0,0.0,0.3474999964237213,17.91771659226852
14,0.0,0.0,0.0,1.0,0.0,0.2639999985694885,17.91771659226852
14,0.0,1.0,0.0,0.0,0.0,0.6354999840259552,17.91771659226852
14,0.0,0.0,-1.0,0.0,0.0,-0.5520010159740448,17.91771659226852
15,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,18.849326159855735
15,0.0,0.0,0.0,1.0,0.0,0.3474999964237213,18.849326159855735
15,0.0,0.0,0.0,1.0,0.0,0.2639999985694885,18.849326159855735
15,0.0,-1.0,0.0,0.0,0.0,-0.6355009840259552,18.849326159855735
16,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,19.519981180691094
16,0.0,0.0,0.0,1.0,0.0,0.3474999964237213,19.519981180691094
16,0.0,0.0,0.0,-1.0,0.0,-0.2640009985694885,19.519981180691094
16,0.0,0.0,0.0,0.0,1.0,0.42249999940395355,19.519981180691094
17,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,20.43063149686582
17,0.0,0.0,0.0,1.0,0.0,0.3474999964237213,20.43063149686582
17,0.0,0.0,0.0,-1.0,0.0,-0.2640009985694885,20.43063149686582
17,0.0,0.0,0.0,0.0,-1.0,-0.4225009994039535,20.43063149686582
17,0.0,1.0,0.0,0.0,0.0,0.5485000014305115,20.43063149686582
18,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,23.34402118081976
18,0.0,0.0,0.0,1.0,0.0,0.3474999964237213,23.34402118081976
18,0.0,0.0,0.0,-1.0,0.0,-0.2640009985694885,23.34402118081976
18,0.0,0.0,0.0,0.0,-1.0,-0.4225009994039535,23.34402118081976
18,0.0,-1.0,0.0,0.0,0.0,-0.5485010014305115,23.34402118081976
19,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,18.814619934036372
19,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,18.814619934036372
19,0.0,0.0,0.0,0.0,1.0,0.4035000056028366,18.814619934036372
19,0.0,0.0,1.0,0.0,0.0,0.33149999380111694,18.814619934036372
20,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,18.5788885621503
20,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,18.5788885621503
20,0.0,0.0,0.0,0.0,1.0,0.4035000056028366,18.5788885621503
20,0.0,0.0,-1.0,0.0,0.0,-0.3315009938011169,18.5788885621503
20,1.0,0.0,0.0,0.0,0.0,0.30900000035762787,18.5788885621503
20,0.0,0.0,0.0,0.0,1.0,0.3020000010728836,18.5788885621503
21,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,21.92686744044501
21,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,21.92686744044501
21,0.0,0.0,0.0,0.0,1.0,0.4035000056028366,21.92686744044501
21,0.0,0.0,-1.0,0.0,0.0,-0.3315009938011169,21.92686744044501
21,1.0,0.0,0.0,0.0,0.0,0.30900000035762787,21.92686744044501
21,0.0,0.0,0.0,0.0,-1.0,-0.3020010010728836,21.92686744044501
22,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,21.122676541218112
22,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,21.122676541218112
22,0.0,0.0,0.0,0.0,1.0,0.4035000056028366,21.122676541218112
22,0.0,0.0,-1.0,0.0,0.0,-0.3315009938011169,21.122676541218112
22,-1.0,0.0,0.0,0.0,0.0,-0.30900100035762784,21.122676541218112
22,0.0,1.0,0.0,0.0,0.0,0.6825000047683716,21.122676541218112
22,0.0,0.0,0.0,0.0,1.0,0.278999999165535,21.122676541218112
23,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,22.81551694321002
23,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,22.81551694321002
23,0.0,0.0,0.0,0.0,1.0,0.4035000056028366,22.81551694321002
23,0.0,0.0,-1.0,0.0,0.0,-0.3315009938011169,22.81551694321002
23,-1.0,0.0,0.0,0.0,0.0,-0.30900100035762784,22.81551694321002
23,0.0,1.0,0.0,0.0,0.0,0.6825000047683716,22.81551694321002
23,0.0,0.0,0.0,0.0,-1.0,-0.27900099916553495,22.81551694321002
23,0.0,1.0,0.0,0.0,0.0,0.4884999841451645,22.81551694321002
24,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,24.625719296436447
24,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,24.625719296436447
24,0.0,0.0,0.0,0.0,1.0,0.4035000056028366,24.625719296436447
24,0.0,0.0,-1.0,0.0,0.0,-0.3315009938011169,24.625719296436447
24,-1.0,0.0,0.0,0.0,0.0,-0.30900100035762784,24.625719296436447
24,0.0,1.0,0.0,0.0,0.0,0.6825000047683716,24.625719296436447
24,0.0,0.0,0.0,0.0,-1.0,-0.27900099916553495,24.625719296436447
24,0.0,-1.0,0.0,0.0,0.0,-0.48850098414516446,24.625719296436447
25,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,26.82972025903113
25,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,26.82972025903113
25,0.0,0.0,0.0,0.0,1.0,0.4035000056028366,26.82972025903113
25,0.0,0.0,-1.0,0.0,0.0,-0.3315009938011169,26.82972025903113
